name,calories,protein,carbohydrate,fat,vitaminc,ingredients
ข้าวผัดปลา,130,2.7,28.2,0.3,0,"rice, fish, coriander root, garlic, pepper, soy sauce, oyster sauce, sugar"
ต้มยำปลาน้ำใส,339,40.6,7.5,16.1,10.5,"fish, mushroom, lemon_grass, kaffir_lime_leave, chili, coriander, spring_onion,onion , galagal, salt, fish sauce, lemon_juice, water, chili_paste"
ต้มยำปลาน้ำข้น,447,45.3,40.3,14.4,316.68,"fish, mushroom, lemon_grass, kaffir_lime_leave, chili, coriander, spring_onion,onion , galagal, salt, fish sauce, lemon_juice, water, chili_paste, milk"
ปลาทับทิมย่างเกลือ,96,20.1,0,1.7,0,"ruby_fish, lemon_grass, celery, lemon, salt, garlic, chili"
ยำวุ้นเส้นทะเล,427,40.9,30.4,17.2,132.24,"vermicelli, lime, onino, squid, shrimp, celery, tomato, chili, fish sauce, sugar, crab, fish"
ข้าวต้มปลากระพง,130,2.7,28.2,0.3,0,"sanpper, water, soy_sauce, galangal, celery, rice, salt"
กุ่ยช่ายพร้อมซอส,362,7.2,54.5,13.9,128.51,"oil, chives, egg, bean_sprout, spring_onion, sweet_soy_sauce, pepper, salt, sugar, flour, baking_soda"
พะแนงหมู,463,20.3,9,38.3,2.18,"chili, lemon_grass, kaffir_lime_leave, shallot, garlic, pepper, coriander_root, salt, shrimp paste, pork, coconut_milk, fish_sauce, sugar, basil, sugar"
ราดหน้าไก่,673,73.4,46.5,22.3,4.21,"chicken, kale, cabbage, carrot, wide_rice_noodle, soy_sauce, sugar, water, oyster_sauce, corn_flour, bean_paste"
ผัดมะระใส่ไข่,227,7.9,7,18.5,3,"bitter_gourd, garlic, coriander_root, soy sauce, salt, egg, oyster_sauce"
แหนมซี่โครงหมู,228,19.2,0.8,16.3,0,"pork, garlic, rice, salt, soy_sauce"
เกาเหลาน้ำตกหมู,413,41.7,3.1,24.7,91,"pork, chilli, shallot, fish_sauce, lime, spring_onion, basil, water, pork_blood"
ผัดมะเขือยาว,130,3,18,5.1,9,"eggplant, pork, shallot, garlic, chili, shrimp_paste, fish_sauce, sugar, oyster_sauce, soy_sauce"
ตำป่า,307,21.6,54.9,2,250.41,"chili, sugar, long_bean, eggplant, crab, lime, tamarind, shoot, cabbage, carrot, dried_shrimp, rice_noodle, clam, papaya, fermented_fish_sauce, fish_sauce, sugar, salt"
ผัดผักบุ้งหมู,650,19.2,12.9,61.7,91,"morning glory, garlic, chili, oyster sauce, fish sauce, sugar, oil, pork"
ต้มจับฉ่ายหมู,136,6.4,9.2,9,134,"cabbage, mushroom, spinach, kale, celery, sugar, soy_sauce, bean_paste, pepper, pork "
ยำหมูยอ,125,4.2,14,6.3,42.5594,"lime, onino,celery, tomato, chili, fish sauce, sugar, pork_sausage"
คั่วกลิ้งหมู,749,44.2,18.7,57.9,6.79502,"pork, kaffir lime leave, oil, lemongrass, garlic, shallot, galangal, salt, pepper, shrimp paste"
มะม่วงน้ำปลาหวาน,395,6.7,93,2,183.207,"mango, sugar, shallot, dried_shrimp, fish_sauce, chili, shrimp+pastt, salt,"
ยำปลาทู,129,18.2,8.1,2.9,19.8314,"lime, onino,celery, tomato, chili, fish sauce, sugar, mackerel"
แกงส้มผักรวม,124,5.7,25,1.2,168.80834,"lettuce, long_bean, shallot, chilli, tamarind, curry_paste, salt, shrimp, cabbage"
ยำเห็ด,164,11.4,33.8,1.7,26.8684,"lime, onino,celery, tomato, chili, fish sauce, sugar, mushroom, black_ear_mushroom, staw_mushroom, golden_mushroom"
แกงส้มมะละกอ,60,1.3,12.9,0.1,82.8597,"lettuce, long_bean, shallot, chilli, tamarind, curry_paste, salt, shrimp, papaya"
ผัดเปรี้ยวหวานปลา,116,23.5,0,1.7,0,"fish, garlic, corn, pineapple, cucumber, bell_pepper, tomato, onion, spring_onion,oil, fish_sauce, sugar, oyster_sauce, vinegar"
ข้าวต้มปลา,220,21,28.2,1.6,0,"fish, water, soy_sauce, galangal, celery, rice, salt"
ผัดคะน้าใส่ไข่,28,1.9,5.6,0.4,68,"kale, pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper, egg"
ซุปผักโขม,410,13,33,25,0,"spinach, garlic, onion, potato, cream, salt, pepper"
กระเพราเต้าหู้ทอด,175,10,0,15,0,"basil, pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper, tofu"
ยำเบคอน,332,9.5,17.4,26,22.3239,"lime, onino,celery, tomato, chili, fish sauce, sugar, mushroom, bacon"
เห็ดและเต้าหู้ผัดน้ำมันหอย,150,5,10,10,0,"mushroom, black_ear_mushroom, staw_mushroom, golden_mushroom, tofu, oyster_sauce, fish_sauce, sugar, salt"
ฟักทองผัดไข่,242,14.3,9.1,16.3,8,"pumpkin, egg, soy_sauce, fish_sauce, oyster_sauce, sugar, salt"
ผัดพริกแกงไก่,297,36.4,27.8,4.8,1.59834,"chicken, long_bean, kaffir_lime_leave, chili, red_curry_paste, sugar, fish_sauce, oil"
ลาบไก่,165,32.2,2.6,3.3,15.4,"chicken, shallot, spring_onion, chili, basil, lime, fish_sauce, parsley, roasted_rice"
ไข่พะโล้,210,14.2,2.7,16.4,0,"egg, tofu, garlic, soy_sauce, sugar, chinese_five_spice, oil, seasoning_sauce"
หมูทอด,405,20.2,0.8,35.3,1.084,"pork, soy_sauce, fish_sauce, oil, sugar, salt"
หมูกรอบทอด,692,9.8,0.4,71.9,1.05,"pork, soy_sauce, fish_sauce, oil, sugar, salt"
น้ำพริกลงเรือ,245,31.7,15.6,6.2,0,"oil, chili, garlic, shrimp_paste, sugar, fish_sauce, lime, egg_yolk, cabbage, long_bean"
น้ำพริกมะขาม,535,69.6,34.1,13.4,1,"tamarind, chili, garlic, dried_shrimp, sugar, shrimp_paste, oil, pork, cabbage, long_bean, cucumbert"
เต้าหู้ทอดผัดผงกะหรี่,455,16.6,16.3,37.5,6.063,"tofu, oil, milk, curry_powder, oyster_sauce, soy_sauce, sugar, egg, chili_paste, garlic, onion, bell_pepper, spring_onion"
เต้าหู้ทอดผัดไข่,238,17.2,10.8,14.9,1.62,"tofu, oil, chili, soy sauce, oyster sauce,sugar, salt, peper, egg"
มาม่าผัดไข่,636,21.4,44.9,40.8,30,"egg_noodle, oil, chili, soy sauce, oyster sauce,sugar, salt, peper, egg"
เกี๊ยวซ่าเห็ด,120,2,5,10,0,"dumpling_dough, mushroom, cabbage, garlic, ginger, soy_sauce, sugar, pepper, salt, vinegar, layu"
เห็ดผัดน้ำมันหอย,164,7,16.2,9.8,0,"mushroom, black_ear_mushroom, staw_mushroom, golden_mushroom, oyster_sauce, fish_sauce, sugar, salt, oil"
ก๋วยจั๊บหลอดน้ำข้น,230,39.5,0.5,8,0,"rice_noodle, pork, water, coriander, stock, garlic, galanga, soy_sauce, salt, sugar, egg"
ข้าวจี่,186,4.4,32.2,3.9,0,"sticky_rice, egg, fish_sauce"
ผัดผักรวมมิตร,228,5.9,20.9,14.3,52.1,"cabbage, broccoli, carrot, asparagus, mushroom, bell chili, baby corn, ear mushroom, garlic, oil, soy sauce, sugar, salt, pepper"
ผัดหมี่ทะเล,580,35.2,82.7,10.9,4,"thin_rice_noodle, egg, chili, challot, oil, fish_sauce, sugar, tofu, spring_onion, bean, tamarind, shrimp, squid"
หมูผัดพริกไทยดำ,210,22.2,8,9.5,8.4,"pork, oil, garlic, oyster_sauce, soy_sauce, fish_sauce, pepper, onion, sugar"
หมูสามชั้นผัดกะปิ,246,12.1,1,21.4,0.5,"oil, pork, garlic, chili, shrimp_paste, kaffir_lime_leave, sugar, mushroom_sauce, soy_sauce"
ผัดบวบใส่ไข่,155,9.2,8.4,10,68.8,"zucchini, oil, chili, soy sauce, oyster sauce,sugar, salt, peper, egg"
ไก่ทอดกระเทียมพริกไทย,223,27.6,6.7,8.6,1,"garlic, oli, chicken, soy sauce, oyster sauce, chili, fish sauce, suger"
หมูทอดกระเทียม,166,23,1,7.1,1,"garlic, oli, pork, soy sauce, oyster sauce, chili, fish sauce, suger"
เห็ดนางฟ้าทอด,153,3.3,6.1,13.9,0,"oyster_mushroom, flour, salt, fish_sauce, oil"
กุ้งทอดซอสมะขาม,280,21.1,17,14,38,"shrimp, shallot, oil, coriander, tamarind, sugar, fish_sauce, all-purpose_flour"
พะแนงไก่,181,20.5,3.9,9.5,1.99917,"chili, lemon_grass, kaffir_lime_leave, shallot, garlic, pepper, coriander_root, salt, shrimp paste, chicken, coconut_milk, fish_sauce, sugar, basil, sugar"
คั่วกลิ้งปลาแซลมอน,676,57.6,76.2,17.9,50.089,"salmon, kaffir lime leave, oil, lemongrass, garlic, shallot, galangal, salt, pepper, shrimp paste"
ผัดกระเพรารวมมิตรทะเล,540,46.76,44.25,31.73,19.8,"rice, basil, shrimp, squid oil, chili, soy sauce, oyster sauce,sugar, salt, peper, egg"
แกงจืดผักกาดขาวเต้าหู้ไข่หมูสับ,200,12,1.5,20,0,"lettuce, pork, tofu, garlic, coriander_root, pepper, water, soy_sauce, salt, sugar, coriander, vegetable_stock"
ลาบหมู,589,39.5,38.3,32,322.384,"pork, shallot, spring_onion, chili, basil, lime, fish_sauce, parsley, roasted_rice"
เกาเหลาเนื้อตุ๋น,432,20.4,21.8,30.5,50.479,"beef, morning_glory, stock, coriander_root, coriander, soy_sauce, salt, sugar, bean_sprout, lettuce, garlic, pepper"
ไข่ลูกเขย,155,12.6,1.1,10.6,0,"egg, vinegar, oil, sugar, fish_sauce, tamarind, shallot, chili, coriander"
ผัดมักกะโรนี,533,11.1,31.1,41.6,518.18,"macaroni, shrimp, tomato sauce, egg, onion, salt, pepper, spring_onion"
ตำหอยแครง,450,65,18.4,11.8,98.96,"papaya, carrot, long_bean, fish sauce, sugar, lime, tomato, shrimp, penut, chili, garlic, clam"
ปลาดุกทอด,152,20,0,7.9,3,"catfish, oil"
ส้มตำไข่เค็ม,172,12.3,14.2,6.9,89.2,"papaya, carrot, sting_bean, fish sauce, sugar, lime, tomato, shrimp, penut, chili, garlic, egg"
เกาเหลาไก่ตุ๋นมะระ,228,24,13.5,9.4,113,"chicken, water, bitter_gourd, soy_sauce, bean_sauce, pepper, sugar, garlic, cabbage, coriander, spring_onion, salt, celery"
ยำแหนมหนังหมู,578,35.1,16,41.5,11.23,"lime, onino,celery, tomato, chili, fish sauce, sugar, sour_pork, pork_skin"
ข้าวต้มกุ้ง,203,26.1,22.7,0.5,0,"shrimp, water, soy_sauce, galangal, celery, rice, salt"
สปาเก็ตตี้ผัดขี้เมาไก่,460,24,66,10,0,"spaghetti, chicken, oil, salt, chili, green_peppercorn, garlic, soy_sauce, oyster_sauce, fish_sauce, sugar, basil"
ก๋วยเตี๋ยวต้มยำทะเล,320,400,250,50,0,"chili, coriander, spring_onion,onion , salt, fish sauce, lemon_juice, water, chili_paste, shrimp, squid, meat_ball"
ข้าวโพดต้ม,86,3.2,19,0,0,"corn, water, sugar"
ผักโขมอบชีส,452,29.8,8.6,34.6,94,"cheese, garlic, butter, salt, pepper, milk, spinach"
ข้าวผัดไก่,645,9.7,87.1,28.1,19.05375,"rice, fish_sauce, soy_sauce, garlic, sugar, celery, onions, lime, oil, chili, chicken
mackerel"
ยำถั่วพู,335,42,28.1,7.2,2,"winged_bean, pork, shrimp, coconut_milk, bean, shallot, chili, lettuce, coconut, betel_leave, garlic, sugar, fish_sauce, lime"
มาม่าเกาหลี,510,12,66,22,4,"garlic, pork, lettuce, soy_sauce, korean_paste, sugar, korean_noodle, spring_onion, sesame"
แซลมอนซาชิมิ,136,21.3,0,5.6,0,salmon
ข้าวเหนียวหมูปิ้ง,586,25.8,44.3,33.3,52.36,"stricy_rice, pork, oyster_sauce, soy_sauce, sugar"
ราดหน้าเส้นหมี่กุ้งหมึก,277,16,50.9,1.6,27.01,"thin_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, shrimp, squid, chili, pepper, all-purpose_flour, kale"
หมี่กรอบราดหน้าทะเล,648,34.3,48.6,35.2,27.68,"fried_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, shrimp, squid, chili, pepper, all-purpose_flour, kale"
ข้าวราดหมูกรอบผัดพริกแกง,719,11.3,52.9,51.2,3.72168,"rice, crispy_pork, long_bean, soy_sauce, oyster_sauce, red_curry_paste, sugar, kaffir_lime_leave, chili, oil"
ข้าวราดหมูกรอบผัดพริดเผา,891,12.5,47.1,71.9,6.8406,"rice, crispy_pork, long_bean, soy_sauce, oyster_sauce, chili_paste, sugar, kaffir_lime_leave, chili, oil"
ข้าวหน้าเป็ด,559,25.5,56.3,24.9,0,"duck, rice, ginger, bog_choy, dark_soy_sauce, salt, vinegar, sugar, chili, garlic, bean_paste, chinese_five_spice, sesame_oil, corn_flour, bean_sauce"
ข้าวหมูกรอบ,864,13.2,74.9,55.6,0.735,"crispy_pork, rice, cucumber"
คอหมูย่าง,372,40.6,0,22.1,0,"pork, oyster_sauce, soy_sauce, sugar, chili, spring_onion, roasted_rice"
กุ้งอบวุ้นเส้น,591,33.1,113.3,0.4,5.8,"vermicelli, shrimp, ginger, garlic, pepper, celery, oyster_sauce, soy_sauce, sugar, oil"
ปูผัดผงกะหรี่,746,73.9,40.3,30.8,33.843,"crab, oil, milk, curry_powder, oyster_sauce, soy_sauce, sugar, egg, chili_paste, garlic, onion, bell_pepper, spring_onion"
ข้าวผัดแซลม่อน,572,44,4.9,42.4,94.08,"rice, fish_sauce, soy_sauce, garlic, sugar, celery, onions, lime, oil, chili, salmon"
หมูแดดเดียว,219,20.4,4.3,12.9,0,"pork, salt, fish_sauce, oyster_sauce"
ฮ่อยจ๊อปู,79,8.1,2.1,4,2.3,"pork, crab, salt, pepper, oil, sugar, garlic, soy_sauce, gypsum"
ผัดหมี่ซั่ว,491,7,81,14.6,0,"thin_rice_noodle, egg, chili, challot, oil, fish_sauce, sugar, tofu, spring_onion, bean, tamarind, tofu"
ผัดดอกกะหล่ำ,235,15.8,19.7,13.1,188.636,"cauliflower, carrot, pork, garlic, fish_sauce, sugar, salt, potato"
หมูสามชั้นทอดน้ำปลา,335,46.5,0.7,15.2,0.18,"pork, oil, fish_sauce, sugar, garlic"
สปาเก็ตตี้ผัดฉ่าทะเล,186,19.8,3.7,10,44.09,"spaghetti, shrimp, garlic, chili, green_peppercorn, basil, oyster_sauce, soy_sauce, fish_sauce, sugar, squid"
กะหล่ำปลีผัดหมูกรอบ,723,11.1,6.4,72,61.05,"crispy_pork, cabbage, fish_sauce, sugar, salt, pepper"
ผัดผักบุ้งหมูกรอบ,594,15.2,9.6,54.5,273.7875,"crispy_pork, morning_glory, fish_sauce, garlic, sugar, salt, oyster_sauce, oil"
สามชั้นคั่วพริกเกลือ,673,12.1,0,68.9,1.3,"crispy_pork, chili, garlic, salt, fish_sauce, sugar"
แกงเขียวหวานหมู,413,48.6,14.5,16.6,63.6,"coconut_milk, green_curry_paste, fish_sauce, sugar, salt,
eggplant, chili,
kaffir_lime_leave,
basil, pork"
ยำเส้นแก้ว,359,45.1,1,18.6,15.8,"glass_noodle, lime, onino, squid, shrimp, celery, tomato, chili, fish_sauce, sugar, pork "
สเต็กไก่เทอริยากิ,420,69,6,18,0,"chicken, teriyaki_sauce, cabbage, pepper, carrot"
หมูผัดพริกหยวก,130,15.2,3.2,6,42.6,"pork, bell_pepper, sugar, pepper, salt, fish_sauce, soy_sauce, oyster_sauce, onion, spring_onion"
ยำไข่ดาว,368,44.3,2.5,19.3,1.2,"egg, lime, onino, squid, shrimp, celery, tomato, chili, fish_sauce, sugar, pork "
หมูผัดกะปิ,418,48.6,1,23.6,3,"pork, shallot, curry_paste, oil, oyster_sauce, sugar, chili"
หมูอบเห็ดหอม,313,46.6,7.3,10,3,"pork, mushroom, coriander_root, ginger, garlic, soy_sauce, sugar, water, oil"
กระเพราหมึก,233,39.6,2.6,6.9,16,"fish_sauce, soy_sauce, garlic, sugar, celery, onions, lime, oil, chilli, squid, butter, peper, basil"
หมึกผัดกะปิ,285,27.6,2,17.8,17,"squid, shallot, curry_paste, oil, oyster_sauce, sugar, chili"
หมูผัดซอส,411,50.2,8,18.7,2,"pork, teriyaki_sauce, cabbage, pepper, carrot, oil"
ข้าวหมูแดง,709,105.6,9.8,28.6,0,"pork, rice, sesame_oil, sugar, salt, soy_sauce, chinese_sausage, coriander, spring_onon, ketchup, boiled_egg"
ผัดวุ้นเส้นเต้าหู้,504,9.9,95.8,9.6,0,"vermicelli, egg, garlic, shallot, oil, sugar, soy_sauce, oyster_sauce, spring_onion, pepper, coriander"
บะหมี่ผัดเทอริยากิ,275,13.4,51.5,2,8.4,"egg_noodle, oil, teriyaki_sauce, pork, cabbage, garlic"
บาร์บีคิวหมู,139,23.8,4,2.7,38,"pork, bbq_sauce, sugar, oil, onion, garlic, pepper, chili, ketchup, salt, vinegar"
ข้าวผัดทะเล,321,42.3,31.5,1.9,8,"rice, fish_sauce, soy_sauce, garlic, sugar, celery, onions, lime, oil, chili, shrimp, squid"
หลนกุ้ง,709,33.8,85.7,24.3,118.9,"shrimp, pork, shallot, pepper, kaffir_lime_leave, coconut_milk, sugar, fish_sauce, tamarind"
บะหมี่หมูแดง,381,17.5,42,15.9,65.8,"water, por, shrimp, sugar, coriander, garlic, ginger, dumplig, pepper, spring onion, egg_noodle, pork"
ห่อหมกปลากราย,337,27.9,49.8,3.7,241.59834,"fish, coconut_milk, red_curry_paste, fish_sauce, sugar, corn_flour, egg, basil, kaffir_lime_leave, chili"
ข้าวปลาซาบะย่างซีอิ้ว,336,21.2,28,14.8,1,"teriyaki_sauce, cabbage, pepper, carrot, rice, mackerel"
ข้าวไก่ผัดพริกไทยดำ,335,37.1,38.1,4.4,41.175,"rice, chicken, bell_pepper, onion, garlic, ginger, pepper, oyster_sauce, soy_sauce, sugar, sesame_oil, oil, coriander, sesame"
ปลาดอลลี่นึ่งมะนาว,126,3.5,26.7,0.9,27.4,"fish, garlic, fish_sauce, lime, coriander, chili"
ไชโป๊ผัดไข่,415,20.5,64.1,10.2,0,"radish, oil, garlic, egg, shallot, sugar, fish_sauce"
เมี่ยงปลาทอด,559,87.6,28.5,12,37.082,"fish, flour, oil, ginger, lime, lemon_grass, shallot, chili, cashew, betel_leave, sugar, fish_sauce, tamarind"
ไก่ทอด,245,30,1.8,12,0,"chicken, oil, flour, soy_sauce, salt, sugar"
ผัดพริกหยวกไก่,339,34.6,13.3,17,135,"chicken, bell_pepper, sugar, pepper, salt, fish_sauce, soy_sauce, oyster_sauce, onion, spring_onion"
ผักบุ้งทอดกรอบ,319,9,38.9,14.2,91,"morning glory, garlic, chili, oyster sauce, fish sauce, sugar, oil"
แกงกะทิปู,829,38.3,31.8,60.6,21.97668,"crab, coconut_milk, shallot, lemon_grass, salt, coconut, chili, lettuce, long_bean"
ซุปกิมจิซี่โครงหมู,894,62.7,18.1,61.8,25.962,"kimgi, water, pork, spring_onion, salt, sugar, gochujang, soy_sauce, tofu, egg, chili"
ต้มเล้งแซ่บ,434,43.1,17.9,22.4,146.19,"pork, onion, garlic, coriander_root, chili, lime, sugar, fish_sauce, lemon_grass"
ตับหวาน,363,46.8,26.1,8.3,118.936,"liver, shallot, spring_onion, chili, basil, lime, fish_sauce, parsley, roasted_rice"
ทอดมันปลากราย,219,13.6,8.3,15.2,6.49024,"fish, curry_paste, kaffir_lime_leave, sugar, fish_sauce, vinegar, salt, chili, long_bean, cucumber"
ขาหมูพะโล้,279,21.3,20.4,12.4,4.111,"pork, tofu, garlic, soy_sauce, sugar, chinese_five_spice, oil, seasoning_sauce"
แกงจืดไข่น้ำ,553,34.7,6,42.5,1,"pork, garlic, coriander_root, pepper, water, soy_sauce, salt, sugar, coriander, egg"
ข้าวผัดคะน้าปลาทู,613,45.5,41.9,29.4,63.36,"rice, fish_sauce, soy_sauce, garlic, sugar, celery, onions, lime, oil, chili, mackerel, kale"
ลาบไก่ทอด,304,47.2,15.6,6.2,33.8422,"chicken, oil, shallot, spring_onion, chili, basil, lime, fish_sauce, parsley, roasted_rice"
ข้าวผัดกระเพราทูน่า,258,37.5,23.7,0.9,0.18,"rice, basil, tuna, oil, chili, soy sauce, oyster_sauce,sugar, salt, peper"
ผัดกะหล่ำใส่กุ้ง,269,39.1,17.1,5.1,63,"shrimp, cauliflower, fish_sauce, sugar, salt, pepper, oyster_sauce"
ผัดผักกาดใส่กุ้ง,320,53.5,17.1,5.2,7.45,"shrimp, lettuce, fish_sauce, sugar, salt, pepper, oyster_sauce"
เกี๊ยวน้ำไก่,334,43.2,31.2,4.4,9.5,"water, chicken, sugar, coriander, garlic, ginger, dumplig, pepper, spring onion"
หมูสะเต๊ะ,347,36.6,10.6,16.5,2.2,"pork, onion, coriander_seed, galangal, lemon_grass, coconut_milk, curry_powder, pepper, salt"
ปลาสลิดทอด,190,0,0,0,0,"gourami, oil, salt"
ข้าวหมูย่างเกลือ,440,16,67,12,20,"rice, pork, salt, pepper, sugar, fish_sauce"
สเต็กเนื้อ,133,21,0,5,0,"beef, pepper, salt"
ทอดมันกุ้ง,85,20.1,0,0.5,64,"shrimp, pork, coriander_root, garlic, pepper, sugar, salt, soy_sauce, oyster_sauce, flour, breadcrumb"
ก๋วยเตี๋ยวผัดปู,360,11.1,21.8,9.1,17.3,"chili, shallot, garlic, oil, sugar, tamarind, water, salt, noodle, crab, gried_shrimp, cucamber, lettuce, bean_sprout"
ยำมะระกุ้งสด,84,10,10.1,0.5,0,"bitter_gourd, shrimp, fish_sauce, sugar, lime, garlic, chili, shallot, coriander"
หอยลายผัดพริกเผา,93,5.5,5.1,5.6,0,"baby_clam, chili_paste, basil, garlic, oyster_sauce, sugar, fish_sauce"
แกงเผ็ดเป็ดย่าง,255,9.5,13,18.2,0,"duck, coconut_milk, tomato, basil, pineapple, chili, kaffir_lime_leave, eggplant, sugar, red_curry_paste, fish_sauce, oil"
ก๋วยเตี๋ยวหลอดทรงเครื่อง,390,22.4,48.2,11.9,0,"oil, garlic, tofu, radish, shrimp, pork, soy_sauce, oyster_sauce, sugar, bean_sprout, spring_onion, wide_rice_noodle, dried_shrimp, coriander,chili, vinegar"
ขนมจีนน้ำเงี้ยว,308,18.9,45.6,5.6,70,"curry_paste, oil, pork, opera_flower, tomato, water, sugar, salt, chicken_blood, spring_onion, corian, garlic, chili, cabbage, lime, bean_sprout, rice_noodel"
ปลาทู 3 รส,203,15.7,14.5,9.1,15,"mackerel, chili, garlic, coriander, fish_sauce, sugar, tamarind_oil"
ข้าวราดแกงฉู่ฉี่ปลาทู,307,13,45,8.3,51,"mackerel, milk, red_curry_paste, salt, water, sugar, fish_sauce, kaffir_lime_leave, oil, rice"
ข้าวราดแกงมัสมั่นไก่,487,15.5,65.7,18,19,"chicken, tomato, coconut_milk, seasoning_sauce, curry_paste, sugar, oil, onion, rice"
ขนมผักกาดใส่ไข่,196,4.3,18.9,11.5,1,"all-purpose_flour, rice_flour, egg, water, radish, dried_shrimp, mushroom, bean, pepper, salt, oil"
แกงขี้เหล็ก,182,2.8,0,19,1,"cassia_leave, oil, curry_paste, coconut_milk, dried_shrimp, coconut_milk, salt, fish_sauce, sugar, kaffir_lime_leave"
ขนมจีนน้ำยาป่า,66,2,13.1,0.6,1.4,"red_curry_paste, krachai, fish, water, fish_ball, fish_sauce, kaffir_lime_leave, chili, spring_onion, long_bean, rice_noodle"
ซุปหน่อไม้,41,2.5,6,0.8,1,"bamboo_shoot, fermented_fish_sauce, yaa_nang_leave, salt, fish_sauce, lime, parsley, spring_onion, mint, roated_rice, chili"
แกงไก่ใส่หยวกกล้วย,124,6.7,0,10,0.1,"chicken, water, oil, chili, salt, garlic, shallot, lemgrass, shrimp_paste, fish_sauce, banana_stalk"
แกงมัสมั่นเนื้อ,252,50.2,0,23.4,34,"beef, milk, red_curry_paste, salt, water, sugar, fish_sauce, kaffir_lime_leave, oil"
แกงฮังเล,215,11.1,5.2,16,49,"pork, sugar, tamarind,  ginger, garlic, peanut, curry_powder, chili, shallot, lemon_grass, galangal, salt, shrimp_paste"
กานาฉ่าย,249,1.5,7.2,23.7,1.6,"black_olive, oil, sour_lettuce, mushroom, sugar, soy_sauce"
ข้าวผัดกะเพราตับ,192,6.6,27.2,6.3,11,"rice, basil, liver, oil, chili, soy sauce, oyster sauce,sugar, salt, peper, egg"
กุ้ง ชุปแป้งทอด,221,8.6,23.6,10.2,0,"shrimp, flour, salt"
แกงเหลืองปลา,41,7.9,1.3,0.1,0,"fish, bamboo_shoot, water, curry_paste, salt, fish_sauce, sugar, tmarind, chili, lemon_grass, garlic, shrimp_paste, turmeric"
เต้าเจี้ยวหลน,72,3.5,8,2.9,29,"pork, soy_sauce, shallot, pepper, kaffir_lime_leave, egg, coconut_milk"
ผัดฉ่าปลาดุก,75,6.8,0,5.9,20,"catfish, garlic, chili, green_peppercorn, basil, oyster_sauce, soy_sauce, fish_sauce, sugar"
