name,calories,protein,carbohydrate,fat,vitaminc,ingredients
กระเพาะปลา เส้นหมี่,60,3.75,9.46,0.75,0,"fish, oil, fish_sauce, sugar, soy sauce, ginger, pepper, coriander, thin_rice_noodle"
ก๋วยจั๊บน้ำข้น,67,3.91,8.49,1.88,0,"rice_noodle, pork, water, coriander, stock, garlic, galanga, soy_sauce, salt, sugar, egg"
ก๋วยเตี๋ยวแขก (ก๋วยตี๋ยวแกง) ,131,6.6,9.4,7.4,0,"chicken, red_curry_paste, coriander_root, galangal, curry_powder, coconut_milk, sugar, fish_sauce, noodle, tofu, spring_onion, water"
ก๋วยเตี๋ยวคั่วไก่,198,6.94,23.77,8.36,0,"wide_rice_noodle, lime, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, egg, chicken, lettuce"
ก๋วยเตี๋ยวเนื้อสับ,112,3.5,15.2,4.1,1,"noodle, beef, soy_sauce, lettuce, garlic, onion, tomato, water, sugar, pepper, celery, chili"
ก๋วยเตี๋ยวผัดไทย ใส่ไข่,239,7.7,24.3,12.3,1,"noodle, egg, tofu, fish_sauce, sugar, bean_sprout, shrimp, tamarind"
ก๋วยเตี๋ยวเส้นบะหมี่ หมู แห้ง,190,10.89,17.54,8.47,0,"pork, noodle, garlic, chili, lime, coriander, chili, spring_onion, egg_noodle"
ก๋วยเตี๋ยวเส้นเล็ก แคระ น้ำ,112,3.04,11.47,5.95,0,"pork, noodle, garlic, chili, lime, coriander, chili, spring_onion, thin_rice_noodle, water, fish_ball"
ก๋วยเตี๋ยวเส้นเล็ก ลูกชิ้น เนื้อสด น้ำ,65,5,9.88,0.6,0,"beef, noodle, garlic, chili, lime, coriander, chili, spring_onion, thin_rice_noodle, water, meat_ball"
ก๋วยเตี๋ยวเส้นเล็ก หมู ต้มยำ,117,5.4,12.47,5.08,0,"pork, noodle, garlic, chili, lime, coriander, chili, spring_onion, thin_rice_noodle, water, chili_paste"
ก๋วยเตี๋ยวเส้นเล็ก หมู ตับ แห้ง,227,8.2,21.2,12.2,0,"pork, garlic, chili, lime, coriander, chili, spring_onion, thin_rice_noodle, liver, water"
ก๋วยเตี๋ยวเล้นเล็ก หมู น้ำตก,81,4.61,11.64,1.78,0,"pork, garlic, chili, lime, coriander, chili, spring_onion, thin_rice_noodle, liver, water, pork_blood"
ก๋วยเตี๋ยวเล้นเล็ก หมู แห้ง,271,9.12,31.83,11.86,0,"pork, garlic, chili, lime, coriander, chili, spring_onion, thin_rice_noodle"
ก๋วยเตี๋ยวเส้นเล็ก หมูเลียง น้ำ,79,3.7,1215,1.74,0,"pork, garlic, chili, lime, coriander, chili, spring_onion, thin_rice_noodle, liver, water, cotyledon"
ก๋วยเตี๋ยวเส้นหมี่ ต้มยำ,94,5.02,9.67,3.86,0,"vermicelli, chili, coriander, spring_onion,onion , salt, fish sauce, lemon_juice, water, chili_paste, shrimp, squid, meat_ball"
ก๋วยเตี๋ยวเส้นหมี่ เนื้อ น้ำตก,64,5.24,9.15,0.69,0,"beef, garlic, chili, lime, coriander, chili, spring_onion, vermicelli, liver, water, beef_blood"
ก๋วยเตี๋ยวเส้นหมี่ ลุกชิ้น น้ำ,43,2.54,5.22,1.3,0,"noodle, garlic, chili, lime, coriander, chili, spring_onion, vermicelli, water, fish_ball, pork_ball"
ก๋วยเตี๋ยวเส้นหมี่ ลุูกชิ้นเนื้อวัว น้ำ,51,2.7,8,0.9,0,"noodle, garlic, chili, lime, coriander, chili, spring_onion, vermicelli, water, fish_ball, pork_ball"
ก๋วยเตี๋ยวเส้นหมี่ หมูตุ๋น แห้ง,107,6.3,12.94,3.38,0,"pork, garlic, chili, lime, coriander, chili, spring_onion, vermicelli"
ก๋วยเตี๋ยวเส้นใหญ่ ไก่ตุ๋นยาจีน,79,5.64,8.02,2.71,0,"chicken, garlic, chili, lime, coriander, chili, spring_onion, vermicelli, water, chinese_spice"
ก๋วยเตี๋ยวเส้นใหญ่่ ปลา น้ำ,68,3.6,10.45,1.32,0,"fish, noodle, garlic, chili, lime, coriander, chili, spring_onion, wide_rice_noodle, water, fish_ball"
ก๋วยเตี๋ยวเส้นใหญ่ ผัดซีอิ้ว,198,4.99,25.6,8.39,0,"wide_rice_noodle,pork, eggs, sugar, peper, garlic, kale, oil, soy sauce,
oyster sauce, baking powder"
ก๋วยเตี๋ยวเส้นใหญ่ ผััดซีอิ้ว ใส่ไข่,195,6.3,20.7,9.7,0,"wide_rice_noodle,pork, eggs, sugar, peper, garlic, kale, oil, soy sauce,
oyster sauce, baking powder"
ก๋วยเตี๋ยวเส้นใหญ่ เย็นตาโฟ น้ำ,73,3.09,8.65,2.89,0,"wide_rice_noodle, lime, salt, tomato paste, garlic, fish sauce, coriander, soy sauce, fish ball, squid, shrimp"
ก๋วยเตี๋ยวเส้นใหญ่ ราดหน้า กุ้ง,84,2.4,12.4,2.7,0,"wide_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, shrimp, chili, pepper, all-purpose_flour, kale"
ก๋วยเตี๋ยวเส้นใหญ่ ราดหน้้า ไก่,109,3,11.5,5.7,0,"wide_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, chicken, chili, pepper, all-purpose_flour, kale"
ก๋วยเตี๋ยวเส้นใหญ่ ราดหน้า หมู,112,3.29,13.28,5.12,0,"wide_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, pork, chili, pepper, all-purpose_flour, kale"
ก๋วยเตี๋ยวเส้นใหญ่ ราดหน้า หมูสับ,96,3.11,12.48,3.76,0,"wide_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, pork, chili, pepper, all-purpose_flour, kale"
ก๋วยเตี๋ยวเส้นใหญ่ ลูกชิ้น หมูตุ่น น้ำ,60,4.9,5.61,1.95,0,"pork, garlic, chili, lime, coriander, chili, spring_onion, wide_rice_noodle"
เกาเหลาหมู,32,3.01,1.94,1.37,0,"pork, chilli, shallot, fish_sauce, lime, spring_onion, basil, water"
ข้าวขาหมู,152,6.7,18.5,5.7,0,"pork, tofu, garlic, soy_sauce, sugar, chinese_five_spice, oil, seasoning_sauce, rice"
ข้าวคลุกกะปิ,191,6.61,25.21,7.11,0,"pork, shallot, ginger, oil, rice, shrimp paste, long bean, mango, chili, lime, dry shrimp"
ข้าวผัดหมู ,181,6.01,20.79,8.2,0,"rice, fish_sauce, soy_sauce, garlic, sugar, celery, onions, lime, oil, chili"
ข้าวราดแกงขี้เหล็ก,115,3.89,17.23,3.4,0,"cassia_leave, oil, curry_paste, coconut_milk, dried_shrimp, coconut_milk, salt, fish_sauce, sugar, kaffir_lime_leave, rice"
ข้าวราดแกงเขียวหวานไก่,133,5.22,19.25,3.9,0,"rice, coconut_milk, green_curry_paste, fish_sauce, sugar, salt, eggplant, chili, kaffir_lime_leave, "
ข้าวราดแกงคั่วกลิ้งหมู,159,3.93,25.13,4.71,0,"chicken, kaffir lime leave, oil, lemongrass, garlic, shallot, galangal, salt, pepper, shrimp paste, rice"
ข้าวราดแกงไตปลา,106,3.28,21.66,0.73,0,"mackerel, bamboo, brinjal, long_bean, kaffir_lime_leave, sugar, pepper, shallot, garlic, galangal, lemon_grass, turmeric, pepper_seed, water, shrimp_paste, rice"
ข้าวราดแกงเทโพหมูสามชั้น,85,1.93,14.2,2.28,0,"pork, morning glory, kaffir lime leave, coconut milk, tamarind juice, sugar, fish sauce, pepper, salt, shrimp paste, shallot, rice"
ข้าวราดแกงพะแนงหมู,136,7.29,20.84,2.65,0,"chili, lemon_grass, kaffir_lime_leave, shallot, garlic, pepper, coriander_root, salt, shrimp paste, pork, coconut_milk, fish_sauce, sugar, basil, sugar, rice"
ข้าวราดแกงส้มชะอมทอด,107,3.77,15.31,3.43,0,"lettuce, long_bean, shallot, chilli, tamarind, curry_paste, salt, shrimp, cabbage, acacia, egg, fish sauce"
ข้าวราดแกงส้มผักรวม,85,2.91,17.77,0.23,0,"lettuce, long_bean, shallot, chilli, tamarind, curry_paste, salt, shrimp, cabbage"
ข้าวราดแกงเหลือง,104,3.64,21.19,0.55,0,"fish, bamboo_shoot, water, curry_paste, salt, fish_sauce, sugar, tmarind, chili, lemon_grass, garlic, shrimp_paste, turmeric, rice"
ข้าวราดไข่เจียวสมุนไพร,210,5.06,24.65,10.1,0,"rice, egg, herb"
ข้าวราดต้มกะทิสายบัว,106,2.99,17.88,2.55,0,"fish, pepper, shallot, shrimp, coconut_milk, tamarind, salt, oil"
ข้าวราดทอดมันปลากราย,185,6.91,20.61,8.32,0,"fish, curry_paste, kaffir_lime_leave, sugar, fish_sauce, vinegar, salt, chili, long_bean, cucumber, rice"
ข้าวผัดกะเพราไก่,174,8.95,22.19,5.48,0,"rice, basil, chicken, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ข้าวราดกะเพราตับ,192,6.57,27.19,6.3,0,"rice, basil, liver, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ข้าวราดผัดคะน้าหมูกรอบ,165,8.89,15.15,4.19,0,"rice, kale, pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ข้าวราดผัดฉ่าปลากะพง,192,7.33,26.27,6.38,0,"snapper, garlic, chili, green_peppercorn, basil, oyster_sauce, soy_sauce, fish_sauce, sugar"
ข้าวราดผัดฉ่าปลาดุก,130,6.78,12.65,5.86,0,"catfish, garlic, chili, green_peppercorn, basil, oyster_sauce, soy_sauce, fish_sauce, sugar"
ข้าวราดผัดเต้าหู้ไข่ทรงเครื่อง ,105,4.29,15.36,2.92,0,"tofu, oil, rice, garlic, onion, babycorn, carrot, oyster_sauce, soy_sauce, pepper, sugar, corn_flour"
ข้าวราดผัดถั่วงอกกับเต้าหู้,124,4,20.15,3.03,0,"rice, garlic, pork, shrimp, tofu, bean_sprout, oyster_sauce, soy_sauce, sugar, pepper, bell_pepper"
ข้าวราดผัดผักรวม,118,3.12,21.61,2.1,0,"cabbage, broccoli, carrot, asparagus, mushroom, bell chili, baby corn, ear mushroom, garlic, oil, soy sauce, sugar, salt, pepper, rice"
ข้าวราดผัดเผ็ดไก่กับหน่อไม้ดอง,150,5.21,21.73,4.68,0,"curry_paste, oil, coconut_milk, fish sauce, sugar, chicken, chili, krachai, pepper, kaffir_lime_leave, bamboo_shoot, rice"
ข้าวราดผัดเผ็ดปลาดุกสด,137,6.03,18.82,4.21,0,"curry_paste, oil, coconut_milk, fish sauce, sugar, catfish, chili, krachai, pepper, kaffir_lime_leave, rice"
ข้าวราดผัดเผ็ดหอยแมลงภู่,144,5.98,21.84,3.61,0,"curry_paste, oil, fish sauce, sugar, mussel, chili, krachai, pepper, kaffir_lime_leave, rice"
ข้าวราดผัดเผ็ดหอยลาย,141,2.63,22.23,4.65,0,"curry_paste, oil, fish sauce, sugar, baby_clam, chili, krachai, pepper, kaffir_lime_leave, rice"
ข้าวราดผัดพริกขิง ใส่ถั่วฝักยาว,132,2.72,21.02,4.13,0,"sugar, lemon_grass, chili, garlic, saltt, galangal, kaffir_lime_leave, shallot, coriander_root, shrimp_paste, chicken, long_bean, rice"
ข้าวราดผัดมะเขือยาวกับหมูสับ,145,3.2,23.25,4.33,0,"eggplant, pork, shallot, garlic, chili, shrimp_paste, fish_sauce, sugar, oyster_sauce, soy_sauce, rice"
ข้าวราดมะระกับไข่,159,4.57,17.66,7.8,0,"bitter_gourd, garlic, coriander_root, soy sauce, salt, egg, oyster_sauce, rice"
ข้าวราดยำไข่ดาว,174,5.44,20.58,7.8,0,"egg, lime, onino, squid, shrimp, celery, tomato, chili, fish_sauce, sugar, pork, rice"
ข้าวราดยำหมูยอ,144,4.37,18.43,5.9,0,"lime, onino,celery, tomato, chili, fish sauce, sugar, pork_sausage, rice"
ข้าวหมกไก่+อาจาด,158,6.94,19,6.07,0,"chicken, curry_powder, turmeric_powder, milk, shallot, butter, pepper, sugar, salt, coriander_seed, cinnamon, green_pepper, coriander, vinegar, mint, rice"
ข้าวหมูอบ,174,7.94,23.76,5.28,0,"pork, garlic, coriander_root, pepper, soy_sauuce, sugar, oil, rice"
ข้าวเหนียวชุบไข่ ปิ้ง,231,2.4,51.4,1.8,0,"sticky_rice, egg, fish_sauce"
หมี่กรอบ,505,2.9,57.1,29.4,0,"thin_rice_noodle, oil"
หมี่กรอบ ราดหน้า ทะเล,114,3.58,12.72,5.47,0,"fried_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, shrimp, squid, chili, pepper, all-purpose_flour, kale"
หมี่กะทิ,173,3.9,24.5,6.6,0,"thin_rice_noodle, pork, egg, soy_sauce, coconut_milk, bean_sprout, coriander, chili, shallot, sugar, tamarind, oil"
หอยทอด,292,8.86,16.13,21.36,0,"mussel, egg, rice_flour, all-purpose_flour, pepper, saltt, soda, spring_onion, coriander"
แกงกะหรี่ ทูน่า,129,10.76,5.64,7.09,0,"chicken, curry_paste, coconut_milk, potato, carrot, onion, sugar, fish_sauce"
แกงเผ็ด เนื้อ,136,10.1,6.45,7.77,0,"beef, eggplant, basil, kaffir_lime_leave, chili, red_curry_paste, coconut_milk, sugar, fish_sauce"
แกงเลียง,30,1.44,5.36,0.35,0,"shallot, pepper, shrimp_paste, shrimp, fish_sauce, water, babycorn, gourd, basil"
ต้มข่า ทูน่า,104,7.26,3.82,6.64,0,"chicken, mushroom, onion, coconut_milk, galangal, lemon_grass, tomato, chili, coriander, salt, fish_sauce, sugar, lime"
ปลาซาบะ ในซอสมะเขือเทศ,187,16.7,0,13.37,0,"mackerel, tomato_sauce"
ปลาซาบะ ย่างซีอิ้ว,187,17.56,9.52,8.77,0,"teriyaki_sauce, cabbage, pepper, carrot, rice, mackerel"
ปลาซาร์ดีน ในซอสมะเขือเทศ,211,20.1,14.83,7.95,0,"sardines, tomato_sauce"
ปลาแซลมอน ย่าง,156,21.87,0,7.65,0,"salmon, salt"
ปลาดุกอุย ทอด รสเผ็ด,317,26.85,9.14,19.27,0,"catfish, salt, kaffir_lime_leave, pepper, garlic, soy_sauce, flour, oil"
ปลาทู 3 รส,149,11.52,10.68,6.7,0,"mackerel, chili, garlic, coriander, fish_sauce, sugar, tamarind_oil"
ปลาทูน่า แซนวิช ในน้ำมันพืช,177,19.06,1.1,10.67,0,"tuna, oil"
ปลาทูน่า เนื้อขาวชนิดก้อน ในน้ำแร่,115,27.93,0,0.4,0,"tuna, mineral_water"
ปลาทูน่า ในน้ำเกลือ ,129,30.71,0,0.67,0,"tuna, salt, water"
ปลาทูน่า ผสมกระเทียม,326,17.34,1.33,27.94,0,"tuna, garlic"
ปลาทูน่า ผัดพริกใบกะเพรา,200,11.95,8.84,12.97,0,"rice, basil, tuna, oil, chili, soy sauce, oyster_sauce,sugar, salt, peper"
ปลาทูน่า มายองเนส,158,9.16,5.28,11.12,0,"tuna, mayonnaise"
ปลาแมกเคอเรล ในซอสมะเขือเทศ,122,13.32,0.54,7.38,0,"mackerel, tomato_sauce"
ปลาแมคเคอเรลราดพริก,203,15.14,15.52,8.97,0,"mackerel, chili, shallot, garlic, coriander_root, sugar, tamarind, fish_sauce"
มัสมั่นทูน่า,235,1415,8.44,16.03,0,"tuna, tomato, coconut_milk, seasoning_sauce, curry_paste, sugar, oil, onion"
ลาบปลาดุก,153,12.33,5.68,9.05,0,"catfish, shallot, spring_onion, chili, basil, lime, fish_sauce, parsley, roasted_rice"
หอยแครง ปรุงรส,265,20.29,21.87,10.66,0,"cockle, salt"
ก๋วยเตี๋ยวผัดปู รวมถั่วงอกดิบ,243,2.94,44.1,6.12,0,"chili, shallot, garlic, oil, sugar, tamarind, water, salt, noodle, crab, gried_shrimp, cucamber, lettuce, bean_sprout"
แกงเขียวหวานหมู,136,6.31,0,12.32,0,"rice_noodle, coconut_milk, green_curry_paste, fish_sauce, sugar, salt,
eggplant, chili,
kaffir_lime_leave, pork
basil"
แกงบอน,39,1.55,7.53,0.32,0,"elephant_ear, water, fermented_fish_sauce, fish, tamarind, fish_sauce, sugar, salt, kaffir_lime_leave"
แกงหมูชะมวง,194,10.28,22.82,6.5,0,"pork, garcinia_cowa, curry_paste, water, fish_sauce, sugar, galangal, lemon_grass, garlic, shallot, chili, shrimp_paste"
ขนมจีนซาวน้ำ,120,2.5,17,4.6,0,"rice_noodle, dried_shrimp, ginger, garlic, pineapple, coconut_milk, sugar, fish_sauce"
ขนมจีนน้ำพริก,168,3.58,19.06,8.57,0,"shallot, garlic, galangal, coriander_root, shrimp, coconut_milk, peanut, kaffir_lime_leave, coriander, rice_noodle"
ขนมจีนน้ำพริก รวมผัก,95,2.4,8.07,5.4,1,"shallot, garlic, galangal, coriander_root, shrimp, coconut_milk, peanut, kaffir_lime_leave, coriander, rice_noodle, cabbage, eggplant"
ขนมจีนน้ำยา,95,2.4,9.07,5.4,0,"rice_noodle,coconut milk, red curry paste, fish sauce, sugar, salt, fish, fish ball, chili,
kaffir lime leave,
basil"
ขนมจีนน้ำยา รวมผัก,80,2.7,9.2,3.6,0,"rice_noodle,coconut milk, red curry paste, fish sauce, sugar, salt, fish, fish ball, chili,
kaffir lime leave,
basil,  eggplant, cabbage"
เต้าเจี้ยว หลน,72,3.52,7.95,2.94,0,"pork, soy_sauce, shallot, pepper, kaffir_lime_leave, egg, coconut_milk"
ห่อหมก ปลาช่อน ใบยอ,126,9.9,0,9.6,0,"red_curry_paste, fish, coconut_milk, palm_sugar, fish_sauce, egg, kaffir_lime_leave, cabbage, basil"
แกงไก่ใส่หยอกกล้วย,124,6.74,0,10,0,"chicken, water, oil, chili, salt, garlic, shallot, lemgrass, shrimp_paste, fish_sauce, banana_stalk"
แกงไข่ (ไข่เป็ด),158,8.17,6.77,10.96,0,"curry_paste, egg, coconut_milk, basil, kaffir_lime_leave, chili, water, palm_sugar, shrimp_paste"
แกงไตปลา,50,5.28,1.33,2.21,0,"mackerel, bamboo, brinjal, long_bean, kaffir_lime_leave, sugar, pepper, shallot, garlic, galangal, lemon_grass, turmeric, pepper_seed, water, shrimp_paste"
แกงน้ำเคย (แกงเคยปลา),39,6.97,1.15,0.69,0,"shrimp_paste, curry_paste, eggplant, kaffir_lime_leave, galangal, lemon_grass, garlic, palm_sugar"
แกงเหลืองใส่ปลา,41,7.8,1.32,0.14,0,"fish, bamboo_shoot, water, curry_paste, salt, fish_sauce, sugar, tmarind, chili, lemon_grass, garlic, shrimp_paste, turmeric"
ไก่กอและ,233,23.02,13.25,9.79,0,"red_curry_paste, chili, shallot, garlic, salt, turmeric, coriander_seed, cinnamon, cumin, ginger, oil, chicken, coconut_milk, sugar, fish_sauce, tamarind"
ขนมจีนน้ำยากะทิ,75,3.2,6.59,3.31,0,"rice_noodle,coconut_milk, red_curry_paste, fish_sauce, sugar, salt, fish, fish_ball
eggplant, chili,
kaffir_lime_leave,
basil"
ข้าวยำคลุก,152,4.96,32.99,0,0,"lemon_grass, bean_sprout, betel_leave, kaffir_lime_leave, pomelo, acacia_seed, long_bean, coconut, sesame, cashew, chili, shrimp_paste, shallot, sugar, lime, galangal, tamarind"
ผัดคั่วกลิ้ง เนื้อวัว,147,21.72,2.74,4.63,0,"beef, kaffir lime leave, oil, lemongrass, garlic, shallot, galangal, salt, pepper, shrimp paste"
ผัดหมี่ไทย,208,3.35,35.15,5.96,0,"thin_rice_noodle, egg, chili, challot, oil, fish_sauce, sugar, tofu, spring_onion, bean, tamarind, shrimp, squid"
เส้นหมี่ ผัดซีอิ้ว,164,2.4,33.9,2.09,0,"thin_rice_noodle,pork, eggs, sugar, peper, garlic, kale, oil, soy sauce,
oyster sauce, baking powder"
แกงขนุนอ่อน,49,2.45,3.19,2.94,0,"pork, jackfruit, acacia, tomato, parsley, chili, shallot, garlic, shrimp_paste, betel_leave"
แกงผักกาดจอ,53,2.8,2.39,3.2,0,"bog_choy, garlic, shallot, shrimp_paste, water, pork, salt, peanut, tamarind, chili"
ขนมจีน น้ำเงี้ยว,107,2.71,5.2,8.42,0,"curry_paste, oil, pork, opera_flower, tomato, water, sugar, salt, chicken_blood, spring_onion, corian, garlic, chili, cabbage, lime, bean_sprout, rice_noodel"
ไส้อั่ว,420,18,5.75,36.1,0,"pork, intestine, chili, coriander_root, kaffir_lime_leave, lemongrass, shallot, garlic, shrimp_paste, salt"
ก้อยอีสาน,105,15.8,7.4,1.4,0,"beef, beef_blood, liver, chili, roated_rice, spring_onion, kaffir_lime_leave"
แกงกล้วยกับไก่,105,5.17,5.41,6.94,0,"chicken, banana, coconut_milk, fis_sauce, sugar, kaffir_lime_leave, chili, pepper, shallot, garlic, galangal, lemon_grass, salt, shrimp_paste, turmeric"
แกงเผือก ใส่ปลา,50,4.11,7.65,0.32,0,"curry_paste, fish, taro, fish_sauce, tamarind, palm_sugar"
แกงหน่อไม้,26,1.41,3.9,0.51,0,"bamboo_shoot, fermented_fish_sauce, yaa_nang_leave, salt, fish_sauce, lime, parsley, spring_onion, mint, roated_rice, chili"
แกงหอยขม,45,5.41,5.14,0.26,0,"cockle, acasia, coconut, curry_paste, pepper, coconut_milk, palm_sugar, fish_sauce, water"
แกงอ่อม เนื้อ,55,3.54,2.01,3.63,0,"beef, water, galangal, lemon_grass, kaffir_lime_leave, coriander_root, parsley, coriander, spring_onion, oil, chili, shallot, garlic, salt"
แกงอ่อม ปลา,53,4.73,0.02,3.8,0,"fish, water, galangal, lemon_grass, kaffir_lime_leave, coriander_root, parsley, coriander, spring_onion, oil, chili, shallot, garlic, salt"
ซุปมะเขือ/ยำมะเขือเปราะ,40,2.64,5.81,0.7,0,"eggplant, water, shallot, garlic, chili, roated_rice, fermented_fish_sauce"
ซุปมะเขือยาว,59,3.34,10.59,0.41,0,"eggplant, water, shallot, garlic, chili, roated_rice, fermented_fish_sauce"
ตำมะเขือพวง,94,8.32,6.5,2.23,0,"eggplant, chili, garlic, shrimp_paste, oil"
ลาบเนื้อ รวมผักสด,112,12.4,5.96,4,0,"beef, shallot, spring_onion, chili, basil, lime, fish_sauce, parsley, roasted_rice, long_bean, cucumber, caggage"
ลาบเลือด อีสาน,99,15.7,6.4,1.2,0,"beef, shallot, spring_onion, chili, basil, lime, fish_sauce, parsley, roasted_rice, long_bean, cucumber, caggage, beef_blood"
ส้มตำ ปลาร้า,36,2.15,4.11,0.64,0,"papaya, carrot, sting bean, fish sauce, sugar, lime, tomato, shrimp, penut, chili, garlic, pickled fish"
ไส้กรอก อีสาน,398,17.3,13.5,30.5,0,"intestine, pork, rice, garlic, pepper, soy_sauce, oyster_sauce, sugar, salt"
ห่อหมกไข่ปลา,230,13.26,0,19.69,0,"red_curry_paste, fish, coconut_milk, palm sugar, fish_sauce, egg, kaffir_lime_leave, cabbage, basil"
ไก่นุ่มสะโพก KFC,283,21,6,19,0,"chicken, oil, salt, flour, thigh"
ไก่นุ่มอก KFC,330,33,11,17,0,"chicken, oil, salt, flour, breast"
ไก่นุ่มน่อง KFC,160,14,4,10,0,"chicken, oil, salt, flour, drumstick"
ไก่นุ่มปีก KFC,230,188,6,15,0,"chicken, oil, salt, flour, wing"
ไก่กรอบสะโพก KFC,320,19,10,22,0,"chicken, oil, salt, flour, thigh"
ไก่กรอบอก KFC,340,26,18,18,0,"chicken, oil, salt, flour, breast"
ไก่กรอบน่อง KFC,170,13,6,10,0,"chicken, oil, salt, flour, drumstick"
ไก่กรอบปีก KFC,230,15,9,15,0,"chicken, oil, salt, flour, wing"
วิงซ์แซ่บ KFC,100,7,5,6,0,"chicken, oil, salt, flour"
ไก่ป๊อป KFC,300,15,23,16,0,"chicken, oil, salt, flour"
ฟิช ฟิงเกอร์ KFC,180,8,16,9,0,"fish, potato, salt, pepper, oil, all-purpose_flour, egg"
นักเก็ตส์ KFC,45,3,3,2.5,0,"chicken, all-purpose_flour, seasoning"
ซิงเกอร์เบอร์เกอร์ KFC,530,25,46,27,0,"burger_bun, chicken, tomato, lettuce"
ข้าวยำไก่แซ่บ KFC,640,25,94,18,0,"rice, chicken, oil, lime, fish_sauce, sugar, shallot, spring_onion, chili, roated_rice, mint"
เฟรนช์ฟรายส์ ปกติ KFC,150,2,21,6,0,"potato, oil, salt"
เฟรนช์ฟรายส์ ใหญ่ KFC,230,3,33,10,0,"potato, oil, salt"
เฟรนช์ฟรายส์ จัมโบ้ KFC,350,5,50,14,0,"potato, oil, salt"
มันบด KFC,210,5,44,1.5,0,"potato, butter, cream, salt"
ทาร์ตไข่ KFC,170,3,18,10,0,"pine_flour, egg, milk, sugar, vanila, butter"
ชีสเบอร์เกอร์ mcdonald,300,15,32,13,0,"burger_bun, cheese, pork, tomato, bell_pepper"
ดับเบิ้ล ชีสเบอร์เกอร์ mcdonald,430,25,34,24,0,"burger_bun, cheese, pork, tomato, bell_pepper"
บิกแมค mcdonald,530,25,45,30,0,"burger_bun, pork, lettuce, cheese"
แมคฟิช mcdonald,370,16,39,18,0,"burger_bun, fish, cream_sauce"
แมคไก่ mcdonald,370,14,39,21,0,"burger_bun, chicken, tomato, lettuce"
แมคสไปซี่ ชิกเกน เบอร์เกอร์ mcdonald,510,27,47,26,0,"burger_bun, chicken, tomato, lettuce, chili, cream_sauce"
แมคนักเก็ต mcdonald,280,14,15,15,0,"chicken, all-purpose_flour, seasoning"
เฟรนช์ฟรายส์ เล็ก mcdonald,230,3,29,10,0,"potato, oil, salt"
เฟรนช์ฟรายส์ กลาง mcdonald,340,5,43,15,0,"potato, oil, salt"
เฟรนช์ฟรายส์ ใหญ่ mcdonald,510,7,66,23,0,"potato, oil, salt"
